[Script Info]
; // 此字幕由Srt2Ass生成
; // 欢迎访问人人影视 http://www.YYeTs.com
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType:v4.00+
Collisions:Normal

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0.00,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:02:40.91,0:02:42.67,*Default,NTP,0000,0000,0000,,你以前在我们这里住过
Dialogue: 0,0:02:42.67,0:02:43.82,*Default,NTP,0000,0000,0000,,那个本子用了多少年了
Dialogue: 0,0:02:43.82,0:02:45.89,*Default,NTP,0000,0000,0000,,这里有些什么东西黏黏糊糊的
Dialogue: 0,0:02:45.89,0:02:47.05,*Default,NTP,0000,0000,0000,,罗比
Dialogue: 0,0:02:47.65,0:02:49.18,*Default,NTP,0000,0000,0000,,那东西回来了
Dialogue: 0,0:02:49.66,0:02:50.94,*Default,NTP,0000,0000,0000,,不可能啊
Dialogue: 0,0:02:52.05,0:02:54.94,*Default,NTP,0000,0000,0000,,好吧  这个地方确实大不如前了
Dialogue: 0,0:02:55.06,0:02:56.63,*Default,NTP,0000,0000,0000,,不过我们还是会玩得开心的
Dialogue: 0,0:02:56.66,0:02:58.26,*Default,NTP,0000,0000,0000,,在星光照耀的房间里用餐
Dialogue: 0,0:02:58.26,0:03:00.35,*Default,NTP,0000,0000,0000,,在谢莉·斯特罗曼三重奏下翩翩起舞
Dialogue: 0,0:03:00.35,0:03:03.40,*Default,NTP,0000,0000,0000,,三人组只剩两人了  给你钥匙
Dialogue: 0,0:03:03.67,0:03:06.02,*Default,NTP,0000,0000,0000,,退房时间是11点  要是你想待久一点
Dialogue: 0,0:03:06.02,0:03:08.99,*Default,NTP,0000,0000,0000,,11点没问题 
Dialogue: 0,0:03:11.11,0:03:12.23,*Default,NTP,0000,0000,0000,,就是这里了
Dialogue: 0,0:03:14.89,0:03:15.68,*Default,NTP,0000,0000,0000,,有什么问题吗
Dialogue: 0,0:03:15.69,0:03:17.23,*Default,NTP,0000,0000,0000,,没有没有  我们只是希望
Dialogue: 0,0:03:17.24,0:03:18.88,*Default,NTP,0000,0000,0000,,-更有浪漫气氛  -拜托
Dialogue: 0,0:03:18.88,0:03:20.33,*Default,NTP,0000,0000,0000,,没有那么糟糕
Dialogue: 0,0:03:20.69,0:03:22.23,*Default,NTP,0000,0000,0000,,-那里面有什么  -没什么
Dialogue: 0,0:03:22.53,0:03:24.62,*Default,NTP,0000,0000,0000,,要是你想找浪漫的地方
Dialogue: 0,0:03:24.85,0:03:27.55,*Default,NTP,0000,0000,0000,,附近有一处很隐蔽的温泉
