[Script Info]
; Script generated by Aegisub 2.1.8
; http://www.aegisub.org/
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType: v4.00+
Collisions:Normal
Timer:100.0000
Video File: Modern.Family.S03E24.HDTV.x264-LOL.avi
Video Aspect Ratio: 0
Video Zoom: 8
Video Position: 4597
Audio File: Modern.Family.S03E24.HDTV.x264-LOL.avi

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体简体,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:04:15.91,0:04:18.14,*Default,NTP,0000,0000,0000,,不行  人家就要当公主
Dialogue: 0,0:04:18.14,0:04:19.95,*Default,NTP,0000,0000,0000,,但是莉莉  你去年就扮过公主了呀
Dialogue: 0,0:04:19.95,0:04:23.38,*Default,NTP,0000,0000,0000,,不行  你答应过我的  我就要当公主
Dialogue: 0,0:04:24.25,0:04:26.92,*Default,NTP,0000,0000,0000,,她为什么这么痴迷于公主
Dialogue: 0,0:04:26.95,0:04:27.89,*Default,NTP,0000,0000,0000,,怎么说呢
Dialogue: 0,0:04:29.01,0:04:30.79,*Default,NTP,0000,0000,0000,,我们小时候也成天想当公主啊
Dialogue: 0,0:04:30.79,0:04:31.81,*Default,NTP,0000,0000,0000,,我是说
Dialogue: 0,0:04:34.25,0:04:35.48,*Default,NTP,0000,0000,0000,,我不是因为这罚单生气
Dialogue: 0,0:04:35.48,0:04:37.20,*Default,NTP,0000,0000,0000,,只是这是我第一次没能成功地
Dialogue: 0,0:04:37.20,0:04:38.59,*Default,NTP,0000,0000,0000,,利用个人魅力免于处罚
Dialogue: 0,0:04:38.60,0:04:40.49,*Default,NTP,0000,0000,0000,,在我看来  这不是罚单问题
Dialogue: 0,0:04:40.76,0:04:42.16,*Default,NTP,0000,0000,0000,,而是社交问题
Dialogue: 0,0:04:42.48,0:04:43.97,*Default,NTP,0000,0000,0000,,无意冒犯  但你根本不需要警笛
Dialogue: 0,0:04:43.97,0:04:46.48,*Default,NTP,0000,0000,0000,,你一下警车  别人就都停下来盯着看了
Dialogue: 0,0:04:46.48,0:04:48.54,*Default,NTP,0000,0000,0000,,请给我你的驾照和车辆注册证
Dialogue: 0,0:04:48.93,0:04:50.06,*Default,NTP,0000,0000,0000,,我
Dialogue: 0,0:04:50.91,0:04:56.24,*Default,NTP,0000,0000,0000,,{\an8}{\fn方正黑体简体\fs18\b1\bord1\shad1\3c&H2F2F2F&}[名为《警察学校》的系列电影]
Dialogue: 0,0:04:50.91,0:04:53.24,*Default,NTP,0000,0000,0000,,我对警察学校挺熟的
Dialogue: 0,0:04:53.24,0:04:54.44,*Default,NTP,0000,0000,0000,,我看过全7部电影
Dialogue: 0,0:04:54.44,0:04:56.36,*Default,NTP,0000,0000,0000,,先生  没人看过7部全辑
Dialogue: 0,0:04:56.37,0:04:58.44,*Default,NTP,0000,0000,0000,,-上面的个人信息都准确吗  -是的
Dialogue: 0,0:04:58.46,0:05:00.12,*Default,NTP,0000,0000,0000,,除了体重
Dialogue: 0,0:05:00.12,0:05:02.77,*Default,NTP,0000,0000,0000,,我以为他们是想知道我能举多重的东西
Dialogue: 0,0:05:03.89,0:05:05.83,*Default,NTP,0000,0000,0000,,我的技能日渐生疏了啊
Dialogue: 0,0:05:05.83,0:05:07.00,*Default,NTP,0000,0000,0000,,技能  什么技能
Dialogue: 0,0:05:07.00,0:05:08.51,*Default,NTP,0000,0000,0000,,闪动我浅蓝色的媚眼
